,smooth_x,smooth_y,type
0,-4.133184565,17.22452,up
1,-2.933184565,17.62452,up
2,-1.733184565,18.12452,up
3,-0.533184565,18.78452,up
4,0.666815435,19.42452,up
5,1.266815435,19.82452,up
6,1.866815435,20.22452,up
7,2.466815435,20.62452,up
8,3.066815435,21.02452,up
9,3.666815435,21.42452,up
10,4.466815435,21.92452,up
11,5.830764497,22.90625,up
12,7.217136886,24.0085,up
13,8.044086191,24.90363,up
14,8.58966922,25.57363,up
15,9.120630704,26.23631,up
16,9.894784487,27.20363,up
17,10.38882565,27.90363,up
18,11.09680287,29.01451,up
19,11.54978009,29.66825,up
20,12.54335815,31.33679,up
21,12.90737202,32.42647,up
22,13.31444826,33.9158,up
23,13.45016,34.76044,up
24,13.56016,36.15866,up
25,13.60016,36.9246,up
26,13.62016,37.6947,up
0,17.40049,36.75476,down
1,17.40049,35.65058,down
2,17.40049,34.54341,down
3,17.40049,33.42825,down
4,17.40049,32.31973,down
5,17.40049,31.20309,down
6,17.40049,30.08114,down
7,17.40049,28.95932,down
8,17.40049,27.83694,down
9,17.40049,26.71265,down
10,17.38634,25.58771,down
11,17.254,23.90188,down
12,17.11494,22.80458,down
13,16.92179,21.61698,down
14,16.66104,20.52411,down
15,16.10567,18.93245,down
16,15.57726,17.7356,down
17,14.71663,16.39706,down
18,14.17243,15.8038,down
19,13.04756,14.67202,down
20,12.01408,14.05597,down
21,11.46325,13.78991,down
22,9.985725,13.4719,down
23,9.745795,13.4559,down
24,9.50097,13.4559,down
25,9.259986,13.4559,down
26,9.006663,13.4559,down
27,8.728212,13.4559,down
28,8.45133,13.4559,down
29,8.172776,13.4559,down
30,7.893391,13.4559,down
31,7.613715,13.4559,down
32,7.333792,13.4559,down
33,7.053745,13.4559,down
34,6.773545,13.4559,down
35,6.493278,13.4559,down
36,6.212968,13.4559,down
37,5.932588,13.4559,down
38,5.652137,13.4559,down
39,5.371587,13.4559,down
40,5.090976,13.4559,down
41,4.810324,13.4559,down
42,4.529603,13.4559,down
43,4.248857,13.4559,down
44,3.968013,13.4559,down
45,3.687153,13.4559,down
46,3.40625,13.4559,down
47,3.125337,13.4559,down
48,2.844423,13.4559,down
49,2.563479,13.4559,down
50,2.282505,13.4559,down
51,2.001539,13.4559,down
52,1.720602,13.4559,down
53,1.439665,13.4559,down
54,1.158735,13.4559,down
55,0.877792,13.4559,down
56,0.596816,13.4559,down
57,0.315837,13.4559,down
58,0.034899,13.4559,down
59,-0.246,13.4559,down
60,-0.5269,13.4559,down
61,-0.80781,13.4559,down
62,-1.08872,13.4559,down
63,-1.36969,13.4559,down
64,-1.65074,13.4559,down
65,-1.93181,13.4559,down
66,-2.21288,13.4559,down
67,-2.49392,13.4559,down
68,-2.77507,13.4559,down
69,-3.05601,13.4559,down
70,-3.3374,13.4559,down
71,-3.61843,13.4559,down
72,-3.88898,13.4559,down
73,-4.15869,13.4559,down
74,-4.42807,13.4559,down
75,-4.69696,13.4559,down
76,-4.96261,13.4559,down
77,-5.24275,13.4559,down
78,-5.50782,13.4559,down
79,-5.77195,13.4559,down
80,-6.04556,13.4559,down
81,-6.31855,13.4559,down
82,-6.59165,13.4559,down
83,-6.86476,13.4559,down
84,-7.13787,13.4559,down
85,-7.41097,13.4559,down
86,-7.68407,13.4559,down
